Fecha,Laborable,Sabado,Feriados,Linea
2020-01-01,"280,382","202,290","92,473",Linea 1
2020-02-01,"283,113","200,686","81,761",Linea 1
2020-03-01,"161,011","91,477","52,837",Linea 1
2020-04-01,"28,378","19,875","5,274",Linea 1
2020-05-01,"38,146","25,197","11,621",Linea 1
2020-06-01,"58,066","36,944",0,Linea 1
2020-07-01,"62,508","36,667",0,Linea 1
2020-08-01,"78,640","48,392",0,Linea 1
2020-09-01,"105,191","70,910",0,Linea 1
2020-10-01,"135,064","110,985","36,965",Linea 1
2020-11-01,"141,388","103,077","57,032",Linea 1
2020-12-01,"151,303","126,114","60,898",Linea 1
2020-01-01,"123,542","99,637","48,098",Linea 2
2020-02-01,"130,240","104,886","52,857",Linea 2
2020-03-01,"76,370","59,867","35,878",Linea 2
2020-04-01,"16,842","12,598","2,950",Linea 2
2020-05-01,"22,322","16,189","7,636",Linea 2
2020-06-01,"31,245","22,553",0,Linea 2
2020-07-01,"33,444","22,542",0,Linea 2
2020-08-01,"42,924","29,612",0,Linea 2
2020-09-01,"57,437","42,673",0,Linea 2
2020-10-01,"72,102","65,455","23,079",Linea 2
2020-11-01,"77,584","61,038","35,127",Linea 2
2020-12-01,"88,153","78,264","40,200",Linea 2
